verdant:   adj. Green with vegetation. 
vigilance:   n. Alert and intent mental watchfulness in guarding against danger. 
metal:   n. An element that forms a base by combining with oxygen, is usually hard, heavy, and lustrous. 
decameter:   n. A length of ten meters. 
callow:   adj. Without experience of the world. 
prevalence:   n. Frequency. 
antistrophe:   n. The inversion of terms in successive classes, as in "the home of joy and the joy of home". 
pedant:   n. A scholar who makes needless and inopportune display of his learning. 
discard:   v. To reject. 
antipodes:   n. A place or region on the opposite side of the earth. 
suggestive:   adj. Stimulating to thought or reflection. 
recrudescent:   adj. Becoming raw or sore again. 
armory:   n. An arsenal. 
eminent:   adj. High in station, merit, or esteem. 
unfavorable:   adj. Adverse. 
tricolor:   adj. Of three colors. 
obsequious:   adj. Showing a servile readiness to fall in with the wishes or will of another. 
duet:   n. A composition for two voices or instruments. 
prefatory:   adj. Pertaining to a brief explanation to the reader at the beginning of a book. 
impolitic:   adj. Inexpedient. 
extricate:   v. Disentangle. 
derrick:   n. An apparatus for hoisting and swinging great weights. 
moderator:   n. The presiding officer of a meeting. 
germinate:   v. To begin to develop into an embryo or higher form. 
aristocrat:   n. A hereditary noble or one nearly connected with nobility. 
subordinate:   adj. Belonging to an inferior order in a classification. 
reproduction:   n. The process by which an animal or plant gives rise to another of its kind. 
gregarious:   adj. Not habitually solitary or living alone. 
bleak:   adj. Desolate. 
constable:   n. An officer whose duty is to maintain the peace. 
notorious:   adj. Unfavorably known to the general public. 
dolesome:   adj. Melancholy. 
verification:   n. The act of proving to be true, exact, or accurate. 
domesticity:   n. Life in or fondness for one's home and family. 
jugular:   adj. Pertaining to the throat. 
quandary:   n. A puzzling predicament. 
brine:   n. Water saturated with salt. 
sonorous:   adj. Resonant. 
reluctant:   adj. Unwilling. 
disseminate:   v. To sow or scatter abroad, as seed is sown. 
ingraft:   v. To set or implant deeply and firmly. 
gaiety:   n. Festivity. 
microscopy:   n. The art of examing objects with the microscope. 
disjunctive:   adj. Helping or serving to disconnect or separate. 
suasion:   n. The act of persuading. 
later:   adv. At a subsequent time. 
fumigate:   v. To subject to the action of smoke or fumes, especially for disinfection. 
timbre:   n. The quality of a tone, as distinguished from intensity and pitch. 
litigious:   adj. Quarrelsome. 
Augustinian:   adj. Pertaining to St. Augustine, his doctrines, or the religious orders called after him. 
inadvisable:   adj. Unadvisable. 
inflammable:   adj. Easily set on fire or excited. 
diverse:   adj. Capable of various forms. 
spurious:   adj. Not genuine. 
recuperate:   v. To recover. 
apostle:   n. Any messenger commissioned by or as by divine authority. 
felicity:   n. A state of well-founded happiness. 
probity:   n. Virtue or integrity tested and confirmed. 
comical:   adj. Funny. 
heredity:   n. Transmission of physical or mental qualities, diseases, etc., from parent to offspring. 
phosphorescence:   n. The property of emitting light. 
exposition:   n. Formal presentation. 
liquidate:   v. To deliver the amount or value of. 
absorption:   n. The act or process of absorbing. 
modernity:   n. The state or character of being modern. 
mirage:   n. An optical effect looking like a sheet of water in the desert. 
crusade:   n. Any concerted movement, vigorously prosecuted, in behalf of an idea or principle. 
devise:   v. To invent. 
batten:   n. A narrow strip of wood. 
indiscreet:   adj. Lacking wise judgment. 
impersonate:   v. To appear or act in the character of. 
emblazon:   v. To set forth publicly or in glowing terms. 
vociferance:   n. The quality of making a clamor. 
depress:   v. To press down. 
protoplasm:   n. The substance that forms the principal portion of an animal or vegetable cell. 
unwise:   adj. Foolish. 
portfolio:   n. A portable case for holding writing-materials, drawings, etc. 
sergeant-at-arms:   n. An executive officer in legislative bodies who enforces the orders of the presiding officer. 
enthusiastic:   adj. Full of zeal and fervor. 
juicy:   adj. Succulent. 
brusque:   adj. Somewhat rough or rude in manner or speech. 
reproof:   n. An expression of disapproval or blame personally addressed to one censured. 
constrict:   v. To bind. 
patriotism:   n. Love and devotion to one's country. 
pinnacle:   n. A high or topmost point, as a mountain-peak. 
percipience:   n. The act of perceiving. 
ceremonious:   adj. Observant of ritual. 
modification:   n. A change. 
deponent:   adj. Laying down. 
monarchy:   n. Government by a single, sovereign ruler. 
amity:   n. Friendship. 
Sybarite:   n. A luxurious person. 
furtive:   adj. Stealthy or sly, like the actions of a thief. 
sacrificial:   adj. Offering or offered as an atonement for sin. 
baste:   v. To cover with melted fat, gravy, while cooking. 
chastise:   v. To subject to punitive measures. 
oblivion:   n. The state of having passed out of the memory or of being utterly forgotten. 
insuppressible:   adj. Incapable of being concealed. 
gentile:   adj. Belonging to a people not Jewish. 
symmetrical:   adj. Well-balanced. 
illogical:   adj. Contrary to the rules of sound thought. 
immoral:   adj. Habitually engaged in licentious or lewd practices. 
sylph:   n. A slender, graceful young woman or girl. 
juxtapose:   v. To place close together. 
ration:   v. To provide with a fixed allowance or portion, especially of food. 
utmost:   n. The greatest possible extent. 
garrote:   v. To execute by strangling. 
colloquial:   adj. Pertaining or peculiar to common speech as distinguished from literary. 
incitement:   n. That which moves to action, or serves as an incentive or stimulus. 
fabulous:   adj. Incredible. 
peccable:   adj. Capable of sinning. 
employee:   n. One who works for wages or a salary. 
subaquatic:   adj. Being, formed, or operating under water. 
medieval:   adj. Belonging or relating to or descriptive of the middle ages. 
emigrant:   n. One who moves from one place to settle in another. 
hypnotize:   v. To produce a somnambulistic state in which the mind readily acts on suggestions. 
technology:   n. The knowledge relating to industries and manufactures. 
agile:   adj. Able to move or act quickly, physically, or mentally. 
incapacity:   n. Want of power to apprehend, understand, and manage. 
moderation:   n. Temperance. 
egress:   n. Any place of exit. 
merciful:   adj. Disposed to pity and forgive. 
connote:   v. To mean; signify. 
petulant:   adj. Displaying impatience. 
respondent:   adj. Answering. 
metaphysician:   n. One skilled in metaphysics. 
allot:   v. To assign a definite thing or part to a certain person. 
insulate:   v. To place in a detached state or situation. 
nondescript:   adj. Indescribable. 
intimidate:   v. To cause to become frightened. 
preponderant:   adj. Prevalent. 
hiatus:   n. A break or vacancy where something necessary to supply the connection is wanting. 
awry:   adv. & adj. Out of the proper form, direction, or position. 
depreciation:   n. A lowering in value or an underrating in worth. 
prodigy:   n. A person or thing of very remarkable gifts or qualities. 
perspective:   n. The relative importance of facts or matters from any special point of view. 
dutiable:   adj. Subject to a duty, especially a customs duty. 
rearrange:   v. To arrange again or in a different order. 
inhibit:   v. To hold back or in. 
plurality:   n. A majority. 
ossify:   v. to convert into bone. 
sanctimonious:   adj. Making an ostentatious display or hypocritical pretense of holiness or piety. 
regime:   n. Particular conduct or administration of affairs. 
analyze:   v. To examine minutely or critically. 
Nemesis:   n. A goddess; divinity of chastisement and vengeance. 
conflagration:   n. A great fire, as of many buildings, a forest, or the like. 
rhapsody:   n. Rapt or rapturous utterance. 
clangor:   n. Clanking or a ringing, as of arms, chains, or bells; clamor. 
bomb:   n. A hollow projectile containing an explosive material. 
audition:   n. The act or sensation of hearing. 
adherence:   n. Attachment. 
recourse:   n. Resort to or application for help in exigency or trouble. 
glorious:   adj. Of excellence and splendor. 
disciplinary:   adj. Having the nature of systematic training or subjection to authority. 
fortitude:   n. Patient courage. 
arrival:   n. A coming to stopping-place or destination. 
venerable:   adj. Meriting or commanding high esteem. 
bibliomania:   n. The passion for collecting books. 
amphibious:   adj. Living both on land and in water. 
paronymous:   adj. Derived from the same root or primitive word. 
prowess:   n. Strength, skill, and intrepidity in battle. 
infest:   v. To be present in such numbers as to be a source of annoyance, trouble, or danger. 
exhaustion:   n. Deprivation of strength or energy. 
scope:   n. A range of action or view. 
incoherent:   adj. Not logically coordinated, as to parts, elements, or details. 
contumacy:   n. Contemptuous disregard of the requirements of rightful authority. 
triad:   n. A group of three persons of things. 
principal:   adj. Most important. 
foresight:   n. Provision against harm or need. 
defensible:   adj. Capable of being maintained or justified. 
incompatible:   adj. Discordant. 
outstrip:   v. To go beyond. 
impetuous:   adj. Impulsive. 
outreach:   v. To reach or go beyond. 
unnecessary:   adj. Not essential under the circumstances. 
gibe:   v. To utter taunts or reproaches. 
compunction:   n. Remorseful feeling. 
successful:   adj. Having reached a high degree of worldly prosperity. 
longevity:   n. Unusually prolonged life. 
cursive:   adj. Writing in which the letters are joined together. 
academician:   n. A member of an academy of literature, art, or science. 
grantor:   n. The maker of a deed. 
extravagant:   adj. Needlessly free or lavish in expenditure. 
imperil:   v. To endanger. 
iciness:   n. The state of being icy. 
isothermal:   adj. Having or marking equality of temperature. 
fuse:   v. To unite or blend as by melting together. 
